Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,697,0,720.0,1806.6918100401724,263.1324899999754,5370.733699000028,76905.0,5.74872670023879,0.0,720,1700,4000,4500,4800,4900,5000,5100,5400,5400,5400
GET,/post-detail,2359,0,710.0,1792.1646701954214,261.56290500000523,5412.193886000012,86441.05171682917,19.456594384308904,0.0,710,1700,4000,4400,4600,4800,4900,5000,5400,5400,5400
,Aggregated,3056,0,710.0,1795.4779609257175,261.56290500000523,5412.193886000012,84266.1079842932,25.205321084547695,0.0,710,1700,4000,4400,4700,4800,4900,5000,5400,5400,5400
