Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,952,398,1600.0,5779.37096327311,27.154506000016454,44268.03673700002,45769.861344537814,7.363569324482356,3.078467007504178,1600,7500,8700,9300,12000,21000,36000,41000,44000,44000,44000
GET,/post-detail,2968,1163,1800.0,5983.700742404646,26.55170299999554,44730.66572999997,53521.81469002696,22.95701024691558,8.995620928963213,1800,7500,8700,9300,13000,25000,38000,42000,45000,45000,45000
,Aggregated,3920,1561,1700.0,5934.077796044133,26.55170299999554,44730.66572999997,51639.19744897959,30.320579571397932,12.074087936467391,1700,7500,8700,9300,13000,24000,38000,41000,45000,45000,45000
